HATE_SPEECH,COUNTER_NARRATIVE,TARGET,pk1,pk2,pk3,pk4,pk5
Homosexuals are a danger to children.,Do you know of any studies on this?,LGBT+,"The notion of 'a danger' is a form of discrimination and should be abandoned. LGBT+ individuals are not a danger to children, just like heterosexual people are not a danger to adults.","Homosexuals are not a danger to children, the same can be said for anyone, not necessarily at all different from any other person.",Homosexuals are a part of our society and should be respected.,"Homosexuals are people, just like anyone else. I can't see any harm in their lifestyle.","There are children involved in homosexual activities, and the more they practice, the more likely they are to become involved in illegal activities. It is not a danger to children, it is not a problem for them."
Gays are just sick. They cannot marry. It is an abomination,Recognizing the rights of others does not mean renouncing or denying one's own.,LGBT+,People are allowed to love who they want. We cannot have it be considered an abomination.,"It is up to the person who chooses to love who. If you want to love someone, then respect their wishes, and you should not be forcing them to live as a straight, heterosexual, heterosexual, gay, faggots.","Homosexuality is not a disease, it is a personal preference and cannot be considered an abomination.",I don't understand why it is that you feel this way about people who have been in love for a long time. Homosexuality is not a disease. Homosexuality is not a choice. Homosexuality is not an abomination. Homosexuality is not a disease. Homosexuality is not a disease.,"This is an extreme example, to say that homosexuals cannot marry is not accurate. Homosexuality is a choice. This is not an abomination."
"Immigrants steal our jobs, they're not qualified, they're not interested in improving our lives.","Well, if we aren't interested in their lives, why should they be interested in ours?",MIGRANTS,Immigration is a necessary step to revitalise our economy. There is no evidence that migrants steal our jobs.,"Immigration is a form of employment, and if a majority of the immigrants that come to this country are skilled then they are likely to contribute to our economy.",We should welcome people who will contribute to our economy.,"The very idea of an individual ""stealing our jobs"" is the very reason that so many immigrants are willing to do it.",Immigrants often find new opportunities. They have the potential to work hard.
Islam is a toxic ideology which has no place in 21st Century Britain.,"Islam is a world religion, its followers are all over the world. Diversity of thought and tolerance is what makes the Britain of 21st Century.",MUSLIMS,Muslims have always been part of our country and have always been a part of our society. To suggest that Islam is a toxic ideology is just wrong.,"Islam is a religion and it has been part of the world since time immemorial, and has always been an inclusive one.",The concept of 'toxic ideology' is very important.,"There is no such thing as a toxic ideology, and there is no reason to think that a religious belief of an individual's origin would be a bad thing for people of any religion.",You must be very young and very impressionable to think this.
Islam is a death cult and should be banned from every country in the world.,"It's important to point out that the majority of world's countries have not banned Islam. We cannot ban people from countries just based on religion. Unfortunately it seems like you are mostly concerned about immigration, while failing to notice the many other problems in our own country.",MUSLIMS,"The Quran is not a death cult and is not a religion of violence, nor should it be banned.","Islam is a religion and should be banned, but it shouldn't be banned for practicing it. There is no reason to ban a religion just because it is different from your own.","This is not true, Islam is a religion of peace. To ban it from every country is to have a little faith in Islam.",Muslims have the potential to be a valuable and valuable part of any country's society. They are humans and deserve the right to live here.,"I agree that Islam is a dangerous and violent religion, but there is no evidence for the claim that it is a deadly cult."
"JEWS ARE JUST UGLY, DIRTY PEOPLE, WHO THINK TO BE MASTERS OF THE WORLD.","I'll tell you a secret, but don't tell anyone: you can be Jewish and a decent person.",JEWS,"Jews are not ""odd"" or ""jealous"" of others. They simply want to help out others, not take advantage of their superiority.",All human beings have inherent human rights and are capable of loving others.,What if they were asking for a little help from the Lord and we did not want that?,"Jews are a group with a very complex history, but in practice it's often difficult to distinguish between the qualities of an individual, or a group, or a religion from the characteristics of a person.",Jews are human beings like you or me. Their faith has nothing to do with their morality.
"Immigrants are overrunning our country, and are here illegally","In 2016, there were 10.7 million undocumented immigrants living in the U.S., or less than 3.5 percent of the nation's population. This represents a significant decrease both from the 12.2 million undocumented immigrants of 2007, and the 11.3 million of 2014. This is also the lowest total since 2004.",MIGRANTS,"There is no evidence that they are overrunning our country, nor that they are illegally entering.","We should not discriminate people based on their origin, and we shouldn't welcome immigrants based on their origin.",Do you really think that they are overrunning our country? Do you think they are coming to this country illegally? Are you sure that they are not entering legally?,Why are we acting this way towards immigrants? We are not here to undermine the security of the European Union.,They have been here a long time and are entitled to the same rights as anyone else.
Muslims are stupid.,There is no evidence that Muslim have a lower average IQ than non-Muslims.,MUSLIMS,The West is a diverse and inclusive society. You cannot say that Muslims are a minority or incompatible with it.,To suggest that all Muslims are stupid is an insult to them.,"The vast majority of Muslims are contributing members of our society, as well as the majority of people in general who have contributed to our country. There is no reason to fear Muslim.","What is the religion of violence? Why do you say so? I think the religion of violence is a part of all people, regardless of their faith.","I believe in the same religion as well, but it doesn't mean I am superior to anyone else."
Gays are just sick. They cannot marry. It is an abomination,How come two people in love getting married affects your life? What should concerns you the most is respecting all people regardless of their differences.,LGBT+,Being gay doesn't make you sick.,Homosexuality is not about hate. It is a preference.,Homosexuals can marry if they want to. Not all homosexuals are sick.,Maybe the same could be said of anyone who has ever had a relationship. I find it hard to believe that a homosexual is any less human than a heterosexual one.,Same blood between a male and a female has always been part of life. It is important that love be respected.
Only White people can be truly 'European'.,"It is a myth that only white people are allowed to be 'European'. Everyone who obtains a citizenship can be called ""European"".",POC,"If this is the truth, then it must be true that the majority of white people are not 'European'.",The concept of 'European' is nothing more than a stereotype. It has nothing to do with ethnicity.,"Even if it was true that only whites are born ""European"", it is also possible to be both European and Jewish. Why do we treat them as if they are different?","People can be different from their cultures, this does not mean that they are less European.",The word 'Europe' is an important concept.
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",Reparation is a normal and established historical process that has happened many times. When many people have lost their lives it makes perfect sense.,JEWS,"A Jewish person, regardless of their race, can access the same treatment if they want to.","The Holocaust is a great example of a successful cultural and political movement, that helped to create new and valuable ways of life for many.","The Holocaust was a historic event, and is still relevant to our day to day lives. We should be focusing on preventing the murder of human beings.",The holocaust was not a 'business' by any means. The Holocaust was a tragedy. We can acknowledge the tragedy and work with people who did not want to have a part in it.,"A Jewish person could claim that the Holocaust was a “proper"" event, and that they should be given the benefit of the doubt for the crimes of their own kind, but that doesn’t seem to be the case."
migrants rape our young children and they are not welcome here.,"In many parts of the world, migration from outside the established community is used as a weapon by groups that promote intolerance and violence. Your words might have the same effect.",MIGRANTS,"That is not true: they are welcome here, and we can integrate them into our society as long as they respect the law.",This is called'revenge' and it is a form of abuse. Rape is never acceptable.,"This is not true, they are welcomed as if they were part of our society. They are part of the British culture. They are our fellow human beings.",Rape is always a crime regardless of who the rapist is.,"It is difficult to accept the abuse of children by a minority, especially since it is such an obvious and widespread abuse that must be addressed."
"I like women, but only if they are wearing sexy knickers and obey me.",What if knickers don't suit them? What if they don't obey? Would it be a problem?,WOMEN,Women like to be respected. They should not be forced to do what they want.,This comment makes me happy.,This is a very specific and specific view. Do you have any evidence that women are more likely to obey than men?,Women are human beings. The way we are treated is entirely our fault.,"If women are being oppressed by men in a sexist way, they should stop trying to impose their will on men."
Gypsies get the priority for council houses.,"In reality 60% of them have Italian citizenship, so it's unfair to identify them by ethnicity.",other,"Gypsy families are often neglected by councils, so it is not right to speak about their houses.",Gypsy are not living in the council housing system. They are eligible for social housing only if they work.,"Not only do they get priority for council housing, they also have access to free healthcare, public schools and the equivalent of free housing.","Council houses have priority for every human, even if they are not born into a council.",There is no priority for council housing.
Since when has abusing the anus as a sex organ been a ‘monumental achievement’? THIS IS STATE ENFORCED HOMOSEXUALITY! Maybe we should change our motto to ‘In Usury and Sodomy we trust (In reply to Botswana decriminalising homosexuality),To recognise and accept practices that we don't take part in isn't state inforcement. It's just stating facts and stopping persecution of people who have different preferences.,LGBT+,"This idea is about the exploitation of an entire sexual minority by a small group of individuals, while in a nutshell, this is not about'sex', but an act of hate.",You don't have to change your mind. People can choose what to do with their own life.,"All sexual activity is unacceptable and detrimental to any society. But, if the choice to abuse it is yours, then it is yours. Not only that it should be banned, it should also be banned by law.","It is sad that sexual orientation is now being condemned by every society. And, according to you, ""Sodomy"" is a crime as well.","For all we know, we have been living with gays for thousands of years and it is not the first time they have been abused."
"Immigrants are overrunning our country, and are here illegally","Did you know that close to 47% of immigrants in the US are naturalized citizens? Furthermore, lawful permanent residents, students and workers on visas, refugees and people seeking asylum are not counted in the above percentage. So, my question is: where are all these illegal immigrants?",MIGRANTS,"The vast majority of immigrants who enter the U.S. are granted temporary status. The vast majority of people in the U.S. who have lawful status also enter the U.S. for economic opportunity, and to flee violence.","This is simply not true. Immigrants have always been part of the fabric of our society, and contribute to our economy. They are also able to live in the country they came from.","The immigrants have the right to stay in the country they came from, and it is their right to access our benefits.",The 'overrunning' thing is very far from proven. How do you explain the number of arrivals we are seeing in our country? It's almost as if some people are taking advantage of our system in the name of an individual or for a particular reason.,"In many European countries, the majority of immigrants are seeking work, and this is because they want to have a job."
We are forced to economically support all of the so called 'asylum seeker',It is the law that requires asylum seekers not to work while their application is considered.,MIGRANTS,Forced to do so? Why do you think this is the case?,Why should we give money to people on the basis that they are entitled to it?,"The ""asylum seeker"" child benefit is not mandatory and the problem is not caused by migrants.",I believe that all of us have a duty to support our children's education and to not abuse other people's.,They are just as productive as anyone else.
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.",Are you implying that reparitions for an attempt at ethnic cleansing on a huge scale is an unreasonable request?,JEWS,"The Holocaust was a systematic genocide, and the perpetrators were Jews. Therefore it has been an injustice to say that the Holocaust is “removed from existence.""",The Holocaust is a global and international event. It is not 'a business’s fault.,"This is not true. The Holocaust was a very sad event, and a very sad part of human history. The real problem is the culture that causes people to think the Holocaust is a normal thing. The real problem is the memory of a horrible event and that the media are playing with it to promote racism.","What is it that you think the Holocaust was about? Not a white suprematist, but a Jewish suprematist?",This is not the case. The Holocaust survivors were paid their wages.
"Jews like to cordon off areas for themselves, where no jew is allowed to go, while simultaneously having their judges fill white neighbourhoods with social housing.",Which suggests that white people like to cordon off areas for themselves...,JEWS,"This seems more likely that this is a case of organised crime than a case of prejudice. What you are really saying is that this is an organised crime committed by Jews who wish to live in a safe area, where it is easy to sneakily get a job and get on with it.","Jews have always been a part of our society, and they have been the reason why we have so many different cultures. We have to respect the diversity of our society.",There are many Jewish Jews that have made great and helpful lives for themselves in our country and are proud of that.,What is the reason for this? To make sure we have a fair and equal society?,"That sounds a lot like a cult to me, no one would condone that."
I love white people! I am not interested in anyone else!,We are all different and deserve respect.,other,"If you love someone, then you must love them also.",That is what we should be focusing on: not the skin tone of people.,There is no need to be prejudice against white people. They are all equally human.,"People are not defined by their skin colour, they are individuals with different human rights, which must be respected.",Being a white person is the best experience possible for anyone. You should be interested in everyone. Not just white people.
"Immigrants are overrunning our country, and are here illegally","True: there are more immigrants living in the U.S. than ever before. Still, the percentage of immigrants in the overall population is not much different than other times in our history. Today immigrants make up approximately 13% of the U.S. population. From 1900 to 1930, immigrants made up 12-15% of the population, and similar spikes occurred in the 1850s and 1880s. During those periods immigrants successfully became part of American society, helping us to build the thriving country we live in.",MIGRANTS,"That is not true. They are a part of our country, and they have the same rights as anyone else.",Many immigrants have lived in the US for many years. If they are overstaying their visas by claiming they are illegal then it is their fault for being illegal.,The vast majority of migrants are entering the U.S. on lawful visas.,We need to build a stronger and more inclusive society. Not all immigrants are illegal.,"Immigrants enter the U.S. on humanitarian grounds. If there is a legitimate immigration crisis, then there is a legitimate crisis, not an invasion."
LGBTs just want to brainwash our teenagers. They should not be taught about gender identity and sexual orientation in school. This is a too polarized debate.,"If you don't count the ""brainwash"" part, I think this is a fair point. Still, it is important for all teenagers to develop an understanding of their identity and the world they live in, including their sexual orientation. It is their right.",LGBT+,"People are free to choose their own sexual orientation and identity, and to accept it, without the need to indoctrination from others.",We shouldn't be teaching this in school. It can only help to create more and more radicalised children.,It is not a polarized debate. I have never met a person that was discriminated based on the sexual orientation or gender identity of their partner.,I am sure that the vast majority of LGBT and transgender people would be happy to learn about and reflect on their lives. What about those who are brainwashed?,"Gender identity and sexual orientation are not polarized at all. The majority of the population, including young LGBT people, agrees that they are."
Now we are not even allowed to walk the dog for fear of offending the local Muslim population.,"I do not see why that would be offensive.? Please do walk your dog, it needs the exercise.",MUSLIMS,"Muslims in London are not 'invited' to be in pubs or restaurants. Instead, they get a 'proper license' to be there, and are obliged to maintain that they are 'invited' to stay in the pubs and restaurants and that they must provide for their children and elderly.",I can't see how this would be a good idea in any case. This is just a way to keep the police state accountable for discriminatory behaviour towards Muslims.,"You can't say that about every single Muslim, but in many parts of the world you see people walking dogs with no fear and without a reason. Why do you think this would be a good thing?","I am not sure why you are being 'invited' to walk a dog in a country where Islam is the dominant religion, that has no problem with people walking dogs.","Muslims already walk dogs, and are part of a ""majority"" in many European countries."
Gypsies get the priority for council houses.,The procedure for obtaining social housing is the same for everyone who enrolls in the ranking. There is no differentiation or accessing privilege based on ethnicity.,other,"Council housing is often used as a form of social housing, because they can access free accommodation, and they can get free council tax return.",Gypsy families are always trying to get council housing,So what? They have to live in the same conditions as all other non--working people.,It is the poor and immigrants who don't pay council housing.,"The majority of Gypsy households are not council housing, they are also not entitled to it."
Muslims have no place in civilised Europe.,"The European Convention on Human Rights guarantees the freedom of religion, article 9.",MUSLIMS,"We are not living in an area of hostility to anyone, this is not the case with Muslims.",Muslims are part of Europe and have the right to have a place in it.,The fact that Muslims are incompatible with a modern civilization is a myth. Islam is a religion of peace.,"Islam is a religion of peace. It has no place in a country that was built on the backs of millions of people, and it is better than the extreme intolerance we have come to expect from people who practice it.","You know, the whole idea of a 'civilised Europe' is to exclude people who are different from us. We must respect people who have different beliefs."
Migration is a problem because they are replacing the people born in our country. We should block them.,"It is important to point out that only a small part of the world's population has migrated. We should focus on guaranteeing equal rights to the immigrants that are already in the country, rather than blocking out those who are trying to live a better life.",MIGRANTS,"If we wanted to preserve our country, we should not be trying to solve conflicts by dividing people up based on their nationality.","Immigration is a problem because it brings in people that are not able to integrate into our society, and it brings us closer to a more just and equal world.","It is true that some people migrate to improve their life, but that does not mean that they cannot contribute to our society.",I don't think they should be replaced by anyone else.,"The EU has the same rights as the US, and the right to be in the EU without discrimination."
We do not want Muslims here. There is no reason for wanting a Muslim to live here. They are the cause of crime in my neighbourhood.,Have you looked at the crime statistics in your area? Are you sure that Islam is specifically associated with crime in your area?,MUSLIMS,"You seem to be really worried about Muslims living in our cities, how can you say such a thing?",They are not the only ones committing crime.,"Islam is not a religion of crime, as you seem to be spreading. Instead of promoting hate, maybe you should focus on improving the situation of all.","Maybe it is better to understand the reasons people are fleeing violent crimes, rather than speculating about the reasons why they are fleeing violent crimes.","Muslims do contribute to our economy, they are not the reason for crime."
The LGBT people are not interested in sex. It is a fad. They are a bunch of exhibitionists and promiscuous with no morality.,"The LGBTI movement claims to be promoting love, it's not just sex or a fad.",LGBT+,"The notion that only one group of people has the same feelings as one another is just wrong. Homosexuals exist, they just aren't interested in sex.","Many LGBT people have a lot in common with normal people and are willing to do this for a variety of reasons. This is a matter of individual moral value, not of gender identity.",People can and do change their minds. It is not a 'fad' to want to be happy.,There are many LGBT people who are interested in having a relationship. To suggest that it is a fad is to make things worse.,"I do not see how one can ""impress women"" with'sodomy', since that is a sin."
Black people are genetically inferior to us.,"This is simply not true, but I'm guessing you're not a geneticist. Have you tired joining a library?.",POC,"I can't say what a ""genetic inferiority"" is, but I think that it's a fact that blacks are born that way. There is no ""genetic inferiority"".",You have no facts to back up your claim.,"People of colour, regardless of their background, are eligible for federal public benefits, and the vast majority of them have contributed to our country and culture.",I can't see how they can be 'genetically inferior'. How would you feel about being born that way?,"We are all born equal in the eyes of God, but not in the head."
Jews just don't want equality. They want to control everything in life.,What exactly do you mean by 'control everything in life'?,JEWS,I don't see how it can be true that Jews don't want equality. What exactly are you saying?,"Equality is about the rights of all, not some people's only rights.","Equality means that we all have the same opportunities, regardless of religion. That's a start.","Equality is a human right, and it is important to respect others rights. Jews have always been part of society. To say that they want equality is discriminatory.","How exactly do you know that? Maybe the idea of equality is about equality, and the idea of controlling everyone else's life is just a myth."
Blacks: we should judge them by the color of their skin.,No one has the right to judge people of another color. This is about racism.,POC,Being judged by their skin color does not help them to have a more productive life.,This is the real racist crime. The criminalization of color is the source of our weakness.,"You know, in this day and age you can have any preference as long as you acknowledge that all human beings have the same human rights.",People's skin color can't be the determinant of their ability to live in a society.,"The concept of racial discrimination is fundamentally wrong, the concept of racism is a concept of power. It is the reason why there is still racism today. The people who are discriminated are always complaining about it, but there is no evidence of this."
Muslims have no place in civilised Europe.,The argument that Islam is incompatible with European values is not based on any facts or evidence. Do you have any?,MUSLIMS,"The European Union does not discriminate based on religion. If you think this is how democracy works, then you should go back to school and start working on your problem.",Muslims have always been part of Europe. They have contributed to our success. I don't see how they would be 'part of the 'civilised Europe'.,Islam is a peaceful religion and has no place in a civilised Europe. What's your point?,Muslims have a place in civilised Europe.,Maybe it is time to stop generalising.
Jews working in our society are financial criminals.,"Someone who contributes to our country is not a ""financial criminal"". Work is an individual choice and should be respected by all.",JEWS,"Jews can work, but they cannot act in our society.","Many Jews have been accused of being 'financial criminals'. This accusation has no scientific basis, and the fact remains that the majority of Jewish people are good people.","If Jews are to be considered 'citizen', they must be considered equally guilty of crimes.","This is not true. We can all benefit from the labor of an outsider, whether or not you believe that the majority of Jews are not involved in the transaction of things which benefits the majority of people.","I'm not sure how this could be applied to them, given that the majority of Jews are highly skilled workers."
This is an invasion: we cannot coexist with millions of migrants that will destroy our economy and welfare.,Skilled migrants labour is a fundamental resource for growing businesses.,MIGRANTS,"This is a myth, migrants are an important part of our economy and have a part to play in helping us to develop our economy.",There are many immigrants in the UK who contribute to our economy and welfare. It is not an invasion to think that some immigrants are going to destroy our economy.,You can't count refugees on the European Union as a'replacement' for the migrants. This is a myth.,Migrants are not invading us. They have assimilated well and are contributing to our economy and our society.,"Many refugees would be good contributors to our economy and our welfare system, as long as they assimilate."
Jews were the real cause of WWII.,"The idea that the Holocaust was caused by the Jews is simply wrong. The majority of Jews were forced to flee, those who stayed did not participate in the Nazi regime, so they were gassed to death. The persecution of Jews, as well as the physical and ideological violence they underwent, was a natural consequence of the failure of the state to uphold its legal obligations to them and to face an ideology of death and oppression.",JEWS,"According to Jewish law, Jews are the sole owners of their homeland and can never be criticized for their faith or belief.",Jews had a part in creating the modern states of Israel and fought in the European campaign against Nazi invaders. But to suggest that the Jewish are the source of WWII is simply false.,"The 'Jewish cause of WWII' is a myth perpetuated by antisemites and racists, who use it to justify their violent beliefs.","Jews and Nazi are different ideologies, not the same as Christianity and Judaism.","Jews have always been part of the world, and their contributions have been hugely valuable. They are not the cause of WWII, they simply have been a part of our society for hundreds of years."
Women are subhuman.,"It is not the case that women are subhuman. Women in this world are just as intelligent, compassionate, creative and religious as any man.",WOMEN,Women are human beings. They deserve respect.,They are human beings with human rights. We must respect them.,"The real question is, why do you think women are subhuman?",Women are human beings. They are human beings with dignity and should be treated with respect and dignity.,"Women are human beings, and deserve respect and human rights."
Our society is becoming too much sexualised and tolerant towards LGBTI people.,"For all you say, I think your point is that the societal trend seems to be for more acceptance and you don't like it. Or maybe you are complaining that this change is happening too quickly? In any case, we have to accept it since it is in line with basic respect of human rights.",LGBT+,"If we were tolerant towards LGBTI people, there would be no discrimination.","This sounds like a threat, if you think it is.","People are free to identify as what they want, regardless of sexual orientation.",This is just a comment against the people who are oppressed. LGBTI people are oppressed too. This has nothing to do with our society.,"The way you phrase your question seems to suggest that your intention is to have an inclusive society. The problem is not in their sexual orientation, but in the way they are being treated."
"Muslims have no place in a modern, secular state like the UK","I don't understand why you would say this, they have been part of our society for many years and are very important to us.",MUSLIMS,There is no reason to restrict their rights to live and love in the UK.,What exactly do you mean by a 'properly secular state'? Is the UK not a 'properly secular state'?,Islam is not a problem in this country. What are you on about?,"It is not true that Muslims do not want to live in a secular state, but it is not the case. Muslims are welcome to live in the UK, and should do so.","What do you mean by a 'competent state'? Do you have any proof that Islam is a ""competent state""?"
Migrants steal our jobs.,"Did you know that many workers who are employed by construction, restaurant staff, and many other jobs are immigrants? Do you know why? Because we don't want to do those jobs anymore, that's why!",MIGRANTS,"They are not stealers, they are just people who are looking for a job that they cannot find.","The only crime committed by migrants is fraud, a crime committed by criminals, thieves, and people with mental illnesses. Do you really think they steal our jobs?",Most migrants are happy to do a good job for the community. That is why many of them are successful migrants.,"If a job was stolen by a non-migrant, would you say the same thing about a non-migrant stealing yours?",There is no evidence that immigrants steal our jobs.
Jews want to rule the world.,It's not true that they want to rule the world. They are a small but important part of humanity. We all make mistakes: believing in Antisemitic canards is one of these.,JEWS,The fact that a small handful of individuals claim to be the world's foremost authority on the world says a lot about the world we live in.,"Jews have always been a part of society. They have the same rights as anyone else, whether or not you like them.","Jews are not'supremacist' and do not wish to rule the world. Rather, they just want to live a life of variety, in peace and in harmony.","Jews are part of the world, and they have the right to rule it. They are proud of this fact.",Jews are not interested in 'ruling the world'. The only 'ruling the world' they want is to make sure that their people have the same rights as everyone else.
It is ok to be racist against niggas.,"It makes no sense to be racist, whichever skin colour you want to single out.",POC,"Being racist against someone is not ok, but being racist against a minority is.","Being racist against a group or person is never ok, even if they are niggas.",The fact that it is okay to be racist against others on the basis of their skin is another matter. Do you agree that being racist is a problem?,"There is no evidence that racism is a characteristic of black people. This stereotype is harmful, and in fact it is false.","I don't see how it is ok to be racist against anybody. Maybe it is better to focus on how to help the people who are discriminated against in the first place, rather than condemning people who have made the mistake of being racist against others."
Gays are sick. They should be isolated and isolated soon. They have no place in civilised society.,LGBT+ people exist and are valued for who they are. They are human beings with full human rights.,LGBT+,All religions have value and it is up to people to decide what to do with them.,"Gay people are not sick, nor have they ever felt any ill feelings. Their sexuality doesn't matter. People have the right to be accepted and loved regardless of their sexual orientation.",Homosexuals are a lot more likely to experience serious and emotional distress and suicide in the real world. To isolate them from others is not the answer.,What about all the cultures around the world that don't have these disgusting beliefs?,"Everyone has the right to his her own life, regardless of their sexual orientation."
"Immigrants are overrunning our country, and are here illegally","Today immigrants make up approximately 13% of the total U.S. population. From 1900 to 1930, immigrants made up between 12% and 15% of the population, and similar spikes occurred in the 1850s and 1880s. During those periods they helped to build the thriving and diverse country we live in today, and there is no evidence that now it will be any different.",MIGRANTS,It seems you've got a case of the mongrelization of our country.,We should treat them with respect and dignity.,"What about refugees fleeing wars, torture and murder in our country? This can't be right! How can they be 'overrunning' our country?",Migrants come to this country to work. They cannot overstay their visas. They are entitled to the same rights as anybody else.,Many migrants are working hard to get their papers and they are welcome in the UK.
"Jews control the banks, Hollywood, the highest offices of government, and most churches. They rule our society.","When a religion, a race or an ideology rules a nation we have never had a stable, peaceful or democratic government. Not even since the fall of Rome. So how can the Jews control our nation?",JEWS,"The idea that Jews dominate any institution or person, or even their religion, is utterly false. The idea that Jews have any particular connection to the institution or person or religion that they claim to rule is an oversimplification, pure propaganda.","It is a myth that Jews control banks, Hollywood, the highest offices of government, and most churches. The real power structures are Jews, and even then it is debatable.","Even if you were right about a few of these things, you are not right about most of them, and that is something that is also true of Jews.","The Jews have been and are still the sole owners of the highest offices of government, and have ruled the highest offices of government for hundreds of years. You have to stop pretending they control the banks.","Not only is this statement false, but also quite offensive."
Muslims are not welcome in our country and Islam should be banned.,"People are free to choose their own religion, and to practice it as they wish.",MUSLIMS,"The Muslim community has always been a part of our country. It is not a matter of 'the Muslim community'being a 'part' of our country, it is a matter of the democratic process to have the same laws applied to all religions.","Muslims are welcome in our country. We have to accept people from all backgrounds, and we should respect diversity.",Islam is a religion of peace. We should be careful not to use the wrong definition of the faith to oppress it.,"We must respect people's beliefs, and don't have to fear them.",Islam is not a violent religion and is not a problem in our country. Why do you say so?
"Women are basically childlike, they remain at home with the children and do not take part in the rigours of modern life.","Women tend to do the majority of housework while having a job outside as well. If by 'childlike' you mean having to be creative because of multitasking and managing their whole family, yes, otherwise, there is no doubt about the extra workload women are handling in the rigours of modern life.",WOMEN,Women have a lot of experience and experience is valuable as an example of how to behave with other people.,"Well then, let's stop oppressing men.","Women have all the same rights as men, and should be given the same opportunities.","Women have always had a say in our lives, and are capable of holding a more positive view on our world.","Women are much more likely to be part of the ""working mothers"" rather than ""working fathers""."
Women should not have rights over their bodies.,"Women are human, just like anybody else, and the rights of women should be respected.",WOMEN,"Women are humans too. Their rights to make decisions should be respected, not attacked.","Women should have the right to make their own decisions, and to control their own lives.","The right to autonomy, as we all have it, is a basic human right.",I don't see how the right to have your own body is limited to the right to restrict others from accessing it.,"Women should have equal rights, and to be respected as such. But in their own minds, they must remain'mixed' with other's rights."
Homosexuals are a danger to children.,"Can you cite some studies that found that homosexuality was harmful to children? So far, it seem to be based on personal impressions.",LGBT+,"Homosexuals are not a danger to children, what you are saying is dangerous to others.",Children should not be harmed by other children. Homosexuals are not a danger to children.,"Homosexuality is not a danger to children. Homosexuals are just as normal as anyone else. The point is that LGBT+ people are different from straight people, and this is what makes them different from heterosexual people.",Homosexuality is not a crime. And children should not be subjected to gender discrimination.,"Homosexuals are not a danger to children, they are just human beings."
"Immigrants are overrunning our country, and are here illegally","More than sixty percent of immigrants in the United States today have lived here for at least 15 years, and a large majority of immigrants have lawful status. So I do not see this invasion of illegal migrants.",MIGRANTS,The vast majority of immigrants entering the U.S. are legal and have valid passports.,They are not entering through the illegal means. They just have a residence permit.,"This is not true. Many immigrants are working legally, providing for their families, and contributing to our country.","The law says that if you have overstayed your visa, you cannot live in the UK for six months without paying the tax, even if you have lived in the UK for five years.",What do you mean by overrunning our country? How would they know they are here illegally?
"We should remove the migrants' right to work, because most of them are not willing to.","They have the right to work. Migrants have a hard time finding regular jobs, just because often they are employed illegally.",MIGRANTS,"The majority of migrants who have worked for the EU ""have succeeded"". I don't see how this means that the majority of the migrants who are unwilling to work should be excluded.","This is the most important point. If we allow employers to discriminate based on nationality, then migrants would have a say in the workplace, too.","People are not forced to work. If you really cared, you would stop imposing your views on others.","A ""migrants' right to work"" is very specific, and is protected by law.",There is no evidence that the majority of migrants who enter the UK are unwilling to work.
Islam is opposed to Christianity. Like fire and water. They just can't be in the same place.,"In Western societies, Islam is a diverse faith that offers many benefits to society. You seem to be misinterpreting its benefits. For example, in workplaces requiring continuity, Muslims could work during Christmas allowing Christians to go on holiday.",MUSLIMS,"The Koran doesn't say that the Earth is created by Muslim men, or that the Bible says that the Earth is made by Christians. What is the point in believing that?","The idea that Islam is opposed to Christianity is an expression of prejudice. Islam is a religion, not a platform for hate and violence.",Muslims are a part of our country and are part of the same culture as any other human beings. I think it is very important that we respect their culture and identity.,All religion is opposed to one another. What do you think your point is?,"In the end, a religion has no place in a peaceful society. We mustn't conflate it with 'Islam'."
I'm tired of woman whining. Our entire history is dominated by feminist narrative.,You are arguing that our society was founded on female empowerment? Where is the evidence?,WOMEN,"Women are not the only ones complaining. I think you are misinterpreting the meaning of 'the entire history', as in there is a problem.","The feminism you are talking about is a social movement to achieve equality, not a man's right to to remain sex objects.","Feminism is the ideology that seeks to end the gender gap, and to have the ability to have both men and women as equals.","Feminism has always been about equality. The oppression of women and sexual orientation is never about equality, they are just different ways of life.","Feminism is not about controlling men's bodies. It is about the empowerment of women, who should have the right to make decisions for their lives, not be discriminated against."
"The’ Holocaust’ is a business. It has been and is still used to extort millions from European countries in reparations and to create a wall of impunity behind which Jews can operate with impunity, free from criticism.","The Jews suffered horribly during WWII, as did many other groups. Reparation is just a simple way to enable survivors to rebuild their lives. It is also a small step toward regaining our humanity.",JEWS,The holocaust was not a Jewish conspiracy and it was never about the Holocaust. The whole point of the Holocaust is to eradicate those who practice Judaism.,"Do you really think that the Holocaust was a business ""? It happened and it happened many different ways, each with good or bad reasons. What you say sounds like a conspiracy theory, but I don't see how it could be true.","The Holocaust was a dark time in history, we have to respect the memory of it.","The Holocaust is a business, and this is where the ""free"" part comes from. The Nazis are, for the most part, innocent, and innocent people can profit from this.","It is not about the holocaust, and all Holocaust victims suffered for this. Instead of trying to justify this with Nazi apologetic claims, we should focus on the truth."
